	mc
WMC2942842	2
WMC2942843	20
WMC2942844	39
WMC2942845	19
WMC2942846	19
WMC2942847	6
WMC2942848	33
WMC2942849	30
WMC2942851	27
WMC2942852	39
WMC2942853	23
WMC2942854	30
WMC2942855	26
WMC2942856	35
WMC2942857	29
WMC2942858	22
WMC2942859	19
WMC2942861	19
WMC2942863	39
WMC2942864	19
WMC2942865	31
WMC2942866	23
WMC2942867	14
WMC2942868	33
WMC2942869	1
WMC2942871	27
WMC2942873	37
WMC2942874	34
WMC2942875	29
WMC2942876	33
WMC2942877	1
WMC2942878	19
WMC2942879	34
WMC2942880	27
WMC2942881	18
WMC2942882	20
WMC2942883	32
WMC2942884	8
WMC2942886	38
WMC2942887	32
WMC2942888	30
WMC2942889	30
WMC2942890	24
WMC2942891	1
WMC2942893	12
WMC2942894	37
WMC2942895	2
WMC2942896	19
WMC2942897	6
WMC2942900	31
WMC2942902	30
WMC2942904	23
WMC2942905	12
WMC2942906	4
WMC2942908	2
WMC2942909	16
WMC2942910	19
WMC2942911	18
WMC2942912	35
WMC2942913	12
WMC2942915	1
WMC2942916	27
WMC2942917	34
WMC2942918	33
WMC2942919	33
WMC2942920	23
WMC2942921	39
WMC2942922	40
WMC2942924	35
WMC2942925	35
WMC2942926	39
WMC2942927	39
WMC2942928	38
WMC2942932	20
WMC2942933	19
WMC2942934	25
WMC2942935	15
WMC2942939	35
WMC2942942	29
WMC2942943	20
WMC2942949	36
WMC2942952	40
WMC2942954	4
WMC2942956	27
WMC2942957	17
WMC2942958	10
WMC2942959	11
WMC2942960	37
WMC2942961	20
WMC2942963	22
WMC2942964	20
WMC2942965	29
WMC2942966	15
WMC2942968	18
WMC2942969	31
WMC2942971	20
WMC2942972	10
WMC2942973	24
WMC2942974	11
WMC2942976	24
WMC2942977	31
WMC2942980	34
WMC2942981	38
WMC2942982	13
WMC2942983	25
WMC2942984	17
WMC2942986	39
WMC2942988	32
WMC2942989	20
WMC2942993	17
WMC2942995	37
WMC2942996	22
WMC2942997	34
WMC2942999	25
WMC2943003	15
WMC2943004	15
WMC2943005	37
WMC2943009	36
WMC2943012	37
WMC2943014	20
WMC2943015	39
WMC2943016	26
WMC2943019	35
WMC2943020	2
WMC2943021	16
WMC2943027	21
WMC2943029	1
WMC2943032	39
WMC2943033	24
WMC2943034	34
WMC2943035	22
WMC2943036	36
WMC2943039	1
WMC2943042	36
WMC2943044	22
WMC2943045	11
WMC2943046	20
WMC2943047	25
WMC2943050	17
WMC2943051	32
WMC2943052	34
WMC2943054	12
WMC2943055	1
WMC2943056	22
WMC2943060	22
WMC2943061	18
WMC2943063	28
WMC2943064	26
WMC2943065	17
WMC2943067	35
WMC2943068	31
WMC2943070	16
WMC2943071	21
WMC2943072	16
WMC2943073	11
WMC2943074	2
WMC2943076	23
WMC2943078	40
WMC2943079	39
WMC2943081	32
WMC2943082	1
WMC2943083	19
WMC2943084	2
WMC2943085	35
WMC2943086	23
WMC2943087	23
WMC2943088	5
WMC2943090	29
WMC2943091	17
WMC2943093	29
WMC2943094	40
WMC2943095	20
WMC2943096	34
WMC2943097	39
WMC2943099	30
WMC2943103	16
WMC2943104	20
WMC2943105	18
WMC2943109	39
WMC2943111	28
WMC2943112	26
WMC2943113	18
WMC2943115	31
WMC2943116	35
WMC2943117	32
WMC2943118	28
WMC2943120	34
WMC2943121	25
WMC2943122	21
WMC2943123	21
WMC2943124	15
WMC2943125	33
WMC2943126	31
WMC2943127	4
WMC2943128	32
WMC2943130	26
WMC2943131	20
WMC2943132	30
WMC2943134	32
WMC2943135	20
WMC2943138	24
WMC2943139	31
WMC2943142	19
WMC2943143	29
WMC2943145	19
WMC2943146	12
WMC2943147	24
WMC2943148	25
WMC2943149	35
WMC2943150	3
WMC2943151	36
WMC2943152	1
WMC2943158	35
WMC2943160	25
WMC2943161	15
WMC2943162	32
WMC2943163	1
WMC2943164	17
WMC2943166	28
WMC2943167	21
WMC2943168	21
WMC2943169	34
WMC2943171	7
WMC2943172	4
WMC2943173	2
WMC2943174	33
WMC2943175	3
WMC2943176	35
WMC2943177	2
WMC2943178	21
WMC2943179	37
WMC2943180	34
WMC2943181	36
WMC2943182	15
WMC2943184	34
WMC2943185	38
WMC2943186	35
WMC2943187	29
WMC2943188	20
WMC2943190	2
WMC2943191	20
WMC2943192	5
WMC2943193	13
WMC2943194	38
WMC2943196	2
WMC2943197	34
WMC2943198	38
WMC2943199	1
WMC2943201	22
WMC2943202	12
WMC2943203	24
WMC2943204	16
WMC2943205	30
WMC2943206	36
WMC2943207	37
WMC2943208	21
WMC2943210	39
WMC2943214	28
WMC2943216	13
WMC2943217	29
WMC2943218	33
WMC2943221	39
WMC2943222	33
WMC2943223	30
WMC2943225	35
WMC2943226	37
WMC2943227	24
WMC2943228	15
WMC2943229	38
WMC2943231	11
WMC2943234	27
WMC2943238	7
WMC2943239	23
WMC2943241	7
WMC2943243	35
WMC2943245	21
WMC2943246	21
WMC2943247	38
WMC2943248	26
WMC2943249	21
WMC2943250	2
WMC2943251	16
WMC2943253	31
WMC2943254	27
WMC2943256	34
WMC2943257	35
WMC2943258	16
WMC2943260	15
WMC2943261	19
WMC2943262	30
WMC2943263	37
WMC2943265	19
WMC2943266	34
WMC2943267	33
WMC2943269	20
WMC2943270	5
WMC2943271	16
WMC2943272	27
WMC2943273	21
WMC2943274	34
WMC2943277	2
WMC2943278	32
WMC2943279	24
WMC2943280	29
WMC2943282	34
WMC2943286	37
WMC2943287	37
WMC2943290	20
WMC2943291	29
WMC2943295	40
WMC2943298	12
WMC2943299	1
WMC2943300	34
WMC2943301	37
WMC2943302	1
WMC2943303	39
WMC2943304	39
WMC2943307	2
WMC2943308	28
WMC2943309	7
WMC2943310	21
WMC2943311	33
WMC2943315	2
WMC2943316	17
WMC2943318	29
WMC2943319	40
WMC2943320	16
WMC2943326	23
WMC2943327	21
WMC2943330	34
WMC2943331	35
WMC2943332	22
WMC2943333	31
WMC2943334	37
WMC2943335	28
WMC2943336	36
WMC2943337	10
WMC2943338	13
WMC2943339	37
WMC2943340	24
WMC2943341	31
WMC2943342	29
WMC2943343	24
WMC2943344	15
WMC2943346	19
WMC2943348	1
WMC2943349	7
WMC2943350	24
WMC2943351	38
WMC2943352	34
WMC2943353	29
WMC2943356	29
WMC2943358	39
WMC2943359	30
WMC2943360	34
WMC2943363	19
WMC2943364	29
WMC2943365	34
WMC2943366	12
WMC2943367	40
WMC2943368	27
WMC2943370	23
WMC2943372	1
WMC2943373	30
WMC2943374	17
WMC2943380	33
WMC2943381	33
WMC2943382	19
WMC2943383	10
WMC2943388	23
WMC2943389	22
WMC2943390	28
WMC2943391	21
WMC2943392	21
WMC2943396	33
WMC2943397	11
WMC2943398	23
WMC2943399	22
WMC2943400	26
WMC2943401	16
WMC2943403	20
WMC2943404	40
