	mc
WMC1019657	12
WMC1019658	2
WMC1019659	19
WMC1019660	7
WMC1019661	33
WMC1019662	15
WMC1019663	11
WMC1019664	5
WMC1019665	22
WMC1019666	14
WMC1019667	21
WMC1019668	4
WMC1019669	7
WMC1019670	18
WMC1019671	8
WMC1019672	2
WMC1019675	6
WMC1019676	6
WMC1019677	1
WMC1019678	11
WMC1019679	12
WMC1019680	33
WMC1019681	5
WMC1019682	18
WMC1019683	12
WMC1019684	11
WMC1019685	4
WMC1019687	13
WMC1019689	18
WMC1019690	21
WMC1019691	2
WMC1019692	5
WMC1019696	7
WMC1019697	17
WMC1019698	17
WMC1019699	2
WMC1019700	8
WMC1019701	8
WMC1019703	10
WMC1019705	14
WMC1019706	11
WMC1019707	7
WMC1019708	30
WMC1019709	17
WMC1019710	12
WMC1019711	31
WMC1019712	7
WMC1019713	17
WMC1019714	11
WMC1019715	34
WMC1019716	20
WMC1019717	7
WMC1019720	18
WMC1019721	1
WMC1019723	16
WMC1019725	11
WMC1019727	11
WMC1019728	19
WMC1019729	13
WMC1019731	15
WMC1019732	4
WMC1019733	4
WMC1019734	20
WMC1019735	17
WMC1019736	13
WMC1019737	7
WMC1019739	9
WMC1019742	14
WMC1019743	17
WMC1019744	4
WMC1019745	7
WMC1019746	5
WMC1019748	1
WMC1019749	17
WMC1019750	10
WMC1019751	5
WMC1019753	20
WMC1019756	11
WMC1019757	17
WMC1019759	17
WMC1019760	8
WMC1019761	7
WMC1019763	19
WMC1019764	14
WMC1019765	4
WMC1019766	11
WMC1019768	2
WMC1019769	18
WMC1019770	9
WMC1019771	2
WMC1019772	21
WMC1019773	19
WMC1019774	3
WMC1019775	11
WMC1019776	21
WMC1019777	12
WMC1019779	12
WMC1019783	10
WMC1019786	10
WMC1019788	6
WMC1019789	10
WMC1019791	21
WMC1019794	15
WMC1019797	11
WMC1019798	33
WMC1019800	4
WMC1019802	19
WMC1019804	2
WMC1019806	8
WMC1019809	15
WMC1019810	7
WMC1019811	4
WMC1019812	7
WMC1019814	13
WMC1019815	19
WMC1019818	30
WMC1019819	11
WMC1019820	13
WMC1019821	8
WMC1019822	17
WMC1019823	6
WMC1019825	18
WMC1019826	4
WMC1019827	10
WMC1019828	17
WMC1019830	13
WMC1019840	12
WMC1019841	19
WMC1019842	14
WMC1019843	34
WMC1019845	16
WMC1019847	7
WMC1019849	11
WMC1019852	8
WMC1019853	15
WMC1019857	9
WMC1019858	11
WMC1019859	6
WMC1019860	8
WMC1019861	4
WMC1019864	21
WMC1019865	7
WMC1019866	20
WMC1019867	16
WMC1019868	16
WMC1019869	34
WMC1019870	14
WMC1019871	5
WMC1019872	17
WMC1019875	17
WMC1019879	20
WMC1019881	5
WMC1019882	6
WMC1019884	19
WMC1019885	1
WMC1019887	12
WMC1019890	19
WMC1019895	8
WMC1019897	13
WMC1019898	34
WMC1019899	3
WMC1019901	2
WMC1019903	6
WMC1019904	4
WMC1019906	17
WMC1019907	12
WMC1019908	17
WMC1019909	17
WMC1019910	6
WMC1019913	17
WMC1019914	20
WMC1019916	5
WMC1019920	7
WMC1019921	30
WMC1019924	15
WMC1019928	5
WMC1019929	9
WMC1019930	4
WMC1019931	6
WMC1019932	19
WMC1019933	32
WMC1019935	18
WMC1019936	5
WMC1019937	7
WMC1019938	32
WMC1019939	6
WMC1019940	12
WMC1019941	15
WMC1019944	6
WMC1019945	9
WMC1019946	19
WMC1019948	19
WMC1019951	11
WMC1019952	2
WMC1019953	5
WMC1019954	10
WMC1019955	19
WMC1019959	3
WMC1019960	11
WMC1019961	14
WMC1019962	17
WMC1019964	2
WMC1019965	19
WMC1019966	17
WMC1019967	2
WMC1019968	10
WMC1019969	14
WMC1019970	8
WMC1019971	6
WMC1019972	11
WMC1019973	3
WMC1019974	8
WMC1019975	6
WMC1019977	9
WMC1019978	9
WMC1019979	20
WMC1019980	35
WMC1019981	11
WMC1019983	21
WMC1019985	12
WMC1019986	12
WMC1019987	4
WMC1019991	9
WMC1019994	12
WMC1019995	16
WMC1019996	7
WMC1019998	11
WMC1020000	8
WMC1020001	5
WMC1020002	5
WMC1020003	8
WMC1020004	5
WMC1020005	30
WMC1020007	17
WMC1020009	12
WMC1020012	9
WMC1020014	11
WMC1020015	15
WMC1020017	11
WMC1020018	20
WMC1020019	4
WMC1020022	1
WMC1020023	17
WMC1020024	16
WMC1020025	17
WMC1020026	10
WMC1020027	15
WMC1020029	6
WMC1020031	35
WMC1020032	6
WMC1020033	17
WMC1020034	8
WMC1020035	18
WMC1020037	12
WMC1020038	7
WMC1020039	17
WMC1020041	19
WMC1020042	17
WMC1020043	5
WMC1020044	4
WMC1020045	18
WMC1020046	7
WMC1020047	7
WMC1020048	2
WMC1020049	5
WMC1020050	22
WMC1020051	31
WMC1020052	18
WMC1020053	32
WMC1020054	10
WMC1020055	15
WMC1020056	35
WMC1020057	3
WMC1020058	21
WMC1020059	8
WMC1020060	13
WMC1020061	18
WMC1020062	2
WMC1020063	7
WMC1020064	18
WMC1085345	7
WMC1085346	19
WMC1085349	11
WMC1085351	4
WMC1085353	13
WMC1085354	7
WMC1085355	20
WMC1085356	21
WMC1085358	9
WMC1085359	13
WMC1085360	21
WMC1085361	14
WMC1085362	5
WMC1085364	9
WMC1085365	17
WMC1085366	11
WMC1085367	7
WMC1085368	10
WMC1085369	5
WMC1085372	16
WMC1085376	7
WMC1085377	6
WMC1085378	1
WMC1085380	20
WMC1085384	8
WMC1085385	6
WMC1085391	10
WMC1085392	3
WMC1085393	6
WMC1085397	9
WMC1085398	16
WMC1085400	5
WMC1085401	19
WMC1085403	5
WMC1085404	7
WMC1085406	6
WMC1085407	8
WMC1085408	2
WMC1085409	2
WMC1085410	1
WMC1085414	7
WMC1085415	5
WMC1085416	9
WMC1085417	19
WMC1085420	7
WMC1085424	13
WMC1085425	9
WMC1085428	13
WMC1085429	13
WMC1085431	6
WMC1085432	7
WMC1085433	14
WMC1085435	4
WMC1085436	7
WMC1085439	4
WMC1085440	31
WMC1085441	7
WMC1085442	9
WMC1085447	13
WMC1085452	7
WMC1085455	7
WMC1085456	4
WMC1085457	19
WMC1085466	34
WMC1085472	11
WMC1085473	7
WMC1085475	12
WMC1085483	9
WMC1085487	9
WMC1085489	7
WMC1085490	7
WMC1085497	18
WMC1085504	13
WMC1085505	7
WMC1085507	7
WMC1085510	7
WMC1085511	19
WMC1085517	8
WMC1085520	18
WMC1085521	6
WMC1085523	8
WMC1085525	14
WMC1085526	4
WMC1085528	13
WMC1085529	7
WMC1085530	6
WMC1085531	7
WMC1085535	6
WMC1085536	21
WMC1085538	2
WMC1085543	7
WMC1085545	8
WMC1085547	8
WMC1085548	8
WMC1085556	9
WMC1085558	8
WMC1085568	11
WMC1085569	4
WMC1085582	12
WMC1085585	13
WMC1085589	17
WMC1085591	10
WMC1085593	8
WMC1085594	6
WMC1085600	5
WMC1085601	8
WMC1085602	9
WMC1085603	1
WMC1085607	7
WMC1085609	9
WMC1085616	7
WMC1085617	6
WMC1085618	13
WMC1085619	8
WMC1085621	8
WMC1085624	7
WMC1085625	30
WMC1085629	4
WMC1085631	20
WMC1085632	10
WMC1085634	20
WMC1085635	33
WMC1085636	14
WMC1085638	8
WMC1085639	13
WMC1085641	7
WMC1085642	8
WMC1085643	7
WMC1085644	9
WMC1085645	21
WMC1085648	30
WMC1085654	6
WMC1085655	13
WMC1085656	8
WMC1085657	5
WMC1085658	8
WMC1085662	13
WMC1085664	2
WMC1085666	13
WMC1085668	7
WMC1085671	20
WMC1085674	10
WMC1085675	16
WMC1085677	20
WMC1085678	4
WMC1085680	16
WMC1085681	6
WMC1085683	14
WMC1085688	20
WMC1085689	7
WMC1085692	2
WMC1085697	16
WMC1085698	30
WMC1085699	30
WMC1085700	20
WMC1085702	15
WMC1085703	33
WMC1085704	4
WMC1085705	9
WMC1085706	15
WMC1085710	1
WMC1085711	10
WMC1085712	16
WMC1085713	2
WMC1085715	8
WMC1085716	10
WMC1085718	8
WMC1085720	14
WMC1085721	6
WMC1085722	8
WMC1085723	7
WMC1085725	7
WMC1085726	14
WMC1085727	10
WMC1085728	33
WMC2492707	31
WMC2492709	31
WMC2492715	34
WMC2492717	23
WMC2492721	31
WMC2492723	15
WMC2492724	23
WMC2492725	23
WMC2492727	31
WMC2492728	31
WMC2492730	33
WMC2492731	2
WMC2492737	24
WMC2492739	31
WMC2492740	31
WMC2492743	31
WMC2492745	16
WMC2492746	33
WMC2492749	4
WMC2492750	31
WMC2492752	31
WMC2492756	32
WMC2492767	31
WMC2492770	34
WMC2492772	23
WMC2492775	31
WMC2492777	31
WMC2492782	23
WMC2492784	31
WMC2492787	31
WMC2492789	2
WMC2492792	32
WMC2492794	16
WMC2492796	30
WMC2492798	32
WMC2492799	3
WMC2492809	32
WMC2492810	33
WMC2492816	34
WMC2492825	2
WMC2492830	31
WMC2492835	32
WMC2492836	30
WMC2492847	31
WMC2492848	32
WMC2492854	31
WMC2492858	34
WMC2492863	23
WMC2492871	32
WMC2492873	32
WMC2492876	31
WMC2492879	34
WMC2492881	31
WMC2492890	23
WMC2492906	31
WMC2492910	31
WMC2492913	1
WMC2492917	31
WMC2492924	19
WMC2492925	31
WMC2492927	12
WMC2492935	33
WMC2492936	34
WMC2492950	31
WMC2492951	31
WMC2492957	23
WMC2492961	5
WMC2492966	31
WMC2492972	32
WMC2492974	23
WMC2492979	5
WMC2492987	3
WMC2492990	31
WMC2492992	2
WMC2493002	3
WMC2493004	31
WMC2493006	23
WMC2493007	32
WMC2493010	11
WMC2493015	19
WMC2493021	30
WMC2493024	21
WMC2493028	32
WMC2493039	5
WMC2493048	18
WMC2493049	7
WMC2493055	31
WMC2493056	30
WMC2493059	31
WMC2493066	31
WMC2493069	32
WMC2493073	31
WMC2493074	16
WMC2493078	8
WMC2493079	32
WMC2493081	31
WMC2493087	24
WMC2493088	31
WMC2493095	31
WMC2493102	13
WMC2493104	23
WMC2493114	31
WMC2493116	35
WMC2493117	34
WMC2493118	34
WMC2493123	1
WMC2493125	23
WMC2493126	30
WMC2493130	23
WMC2493131	30
WMC2493135	23
WMC2493140	23
WMC2493141	33
WMC2493142	15
WMC2493143	32
WMC2493147	30
WMC2493151	12
WMC2493154	12
WMC2493156	23
WMC2493160	23
WMC2493161	34
WMC2493162	5
WMC2493164	30
WMC2493167	9
WMC2493173	15
WMC2493174	8
WMC2493198	8
