	mc
WMC2373911	85
WMC2373913	86
WMC2373914	85
WMC2373915	70
WMC2373916	106
WMC2373918	77
WMC2373919	111
WMC2373920	122
WMC2373923	112
WMC2373924	107
WMC2373925	105
WMC2373926	100
WMC2373927	114
WMC2373928	58
WMC2373929	104
WMC2373931	101
WMC2373932	101
WMC2373933	101
WMC2373934	101
WMC2373936	38
WMC2373937	99
WMC2373938	116
WMC2373940	104
WMC2373941	108
WMC2373942	99
WMC2373944	86
WMC2373945	103
WMC2373946	114
WMC2373947	59
WMC2373948	78
WMC2373949	104
WMC2373951	121
WMC2373952	108
WMC2373954	116
WMC2373955	113
WMC2373958	49
WMC2373959	113
WMC2373961	74
WMC2373962	106
WMC2373963	100
WMC2373964	83
WMC2373966	103
WMC2373967	72
WMC2373968	111
WMC2373969	103
WMC2373970	122
WMC2373971	39
WMC2373972	121
WMC2373974	70
WMC2373975	110
WMC2373977	77
WMC2373978	83
WMC2373979	119
WMC2373980	109
WMC2373981	120
WMC2373982	63
WMC2373983	83
WMC2373985	58
WMC2373986	85
WMC2373988	117
WMC2373989	119
WMC2373991	100
WMC2373992	105
WMC2373993	85
WMC2373994	118
WMC2373996	89
WMC2373997	121
WMC2373998	80
WMC2373999	87
WMC2374000	78
WMC2374001	61
WMC2374002	121
WMC2374003	66
WMC2374005	119
WMC2374006	107
WMC2374007	59
WMC2374008	106
WMC2374009	71
WMC2374012	115
WMC2374013	83
WMC2374014	121
WMC2374015	108
WMC2374016	73
WMC2374017	103
WMC2374019	115
WMC2374020	97
WMC2374021	103
WMC2374022	75
WMC2374023	101
WMC2374024	112
WMC2374025	106
WMC2374026	1
WMC2374027	111
WMC2374028	95
WMC2374029	1
WMC2374030	101
WMC2374031	114
WMC2374032	108
WMC2374033	119
WMC2374034	103
WMC2374035	89
WMC2374036	98
WMC2374038	99
WMC2374039	70
WMC2374040	103
WMC2374042	103
WMC2374043	59
WMC2374044	105
WMC2374045	86
WMC2374047	118
WMC2374048	100
WMC2374049	93
WMC2374050	60
WMC2374052	79
WMC2374053	100
WMC2374054	91
WMC2374055	108
WMC2374057	119
WMC2374058	88
WMC2374059	102
WMC2374060	93
WMC2374061	106
WMC2374062	93
WMC2374063	102
WMC2374064	80
WMC2374066	81
WMC2374067	71
WMC2374068	100
WMC2374069	118
WMC2374070	83
WMC2374071	91
WMC2374073	92
WMC2374074	92
WMC2374075	93
WMC2374076	71
WMC2374077	86
WMC2374078	120
WMC2374079	115
WMC2374080	92
WMC2374081	95
WMC2374082	116
WMC2374083	64
WMC2374084	111
WMC2374085	52
WMC2374086	93
WMC2374087	119
WMC2374088	73
WMC2374089	96
WMC2374090	99
WMC2374091	77
WMC2374092	116
WMC2374093	54
WMC2374094	115
WMC2374095	119
WMC2374096	94
WMC2374097	88
WMC2374098	116
WMC2374099	76
WMC2374100	74
WMC2374101	58
WMC2374102	76
WMC2374103	117
WMC2374105	85
WMC2374107	77
WMC2374108	86
WMC2374109	98
WMC2374110	98
WMC2374111	93
WMC2374112	61
WMC2374113	91
WMC2374115	104
WMC2374116	109
WMC2374117	98
WMC2374118	56
WMC2374119	121
WMC2374120	94
WMC2374121	79
WMC2374122	81
WMC2374123	91
WMC2374124	102
WMC2374126	114
WMC2374127	68
WMC2374128	91
WMC2374131	101
WMC2374132	80
WMC2374133	88
WMC2374134	69
WMC2374135	75
WMC2374137	112
WMC2374138	110
WMC2374139	108
WMC2374140	77
WMC2374141	110
WMC2374142	109
WMC2374143	107
WMC2374145	95
WMC2374146	50
WMC2374147	55
WMC2374148	75
WMC2374150	89
WMC2374151	91
WMC2374153	99
WMC2374154	91
WMC2374155	108
WMC2374156	69
WMC2374157	80
WMC2374158	101
WMC2374159	83
WMC2374160	97
WMC2374161	92
WMC2374163	112
WMC2374164	85
WMC2374165	88
WMC2374167	89
WMC2374168	87
WMC2374169	103
WMC2374170	96
WMC2374171	106
WMC2374172	117
WMC2374173	121
WMC2374174	77
WMC2374175	102
WMC2374177	78
WMC2374178	110
WMC2374179	77
WMC2374180	98
WMC2374181	64
WMC2374182	92
WMC2374183	84
WMC2374184	75
WMC2374185	85
WMC2374186	102
WMC2374187	122
WMC2374188	71
WMC2374189	95
WMC2374190	65
WMC2374191	100
WMC2374192	104
WMC2374193	102
WMC2374194	77
WMC2374195	70
WMC2374196	117
WMC2374197	93
WMC2374198	75
WMC2374199	57
WMC2374200	63
WMC2374201	107
WMC2374202	72
WMC2374203	85
WMC2374204	107
WMC2374207	108
WMC2374208	99
WMC2374209	53
WMC2374212	103
WMC2374213	83
WMC2374214	90
WMC2374215	88
WMC2374216	83
WMC2374217	120
WMC2374218	76
WMC2374219	62
WMC2374220	102
WMC2374221	80
WMC2374222	92
WMC2374223	88
WMC2374224	98
WMC2374225	65
WMC2374226	98
WMC2374227	122
WMC2374228	49
WMC2374229	87
WMC2374230	37
WMC2374231	86
WMC2374232	100
WMC2374233	101
WMC2374234	65
WMC2374236	71
WMC2374238	116
WMC2374239	74
WMC2374241	80
WMC2374242	95
WMC2374243	102
WMC2374244	91
WMC2374245	84
WMC2374246	106
WMC2374247	102
WMC2374249	95
WMC2374250	110
WMC2374251	92
WMC2374252	74
WMC2374253	99
WMC2374254	114
WMC2374256	87
WMC2374257	88
WMC2374258	105
WMC2374259	90
WMC2374260	102
WMC2374261	93
WMC2374262	116
WMC2374263	81
WMC2374264	116
WMC2374266	102
WMC2374267	108
WMC2374268	103
WMC2374269	81
WMC2374270	108
WMC2374271	66
WMC2374272	65
WMC2374273	112
WMC2374275	85
WMC2374276	102
WMC2374277	82
WMC2374278	94
WMC2374279	91
WMC2374281	87
WMC2374282	83
WMC2374285	87
WMC2374286	100
WMC2374287	112
WMC2374291	74
WMC2374292	58
WMC2374293	92
WMC2374294	110
WMC2374295	95
WMC2374296	95
WMC2374297	67
WMC2374299	110
WMC2374300	101
WMC2374302	77
WMC2374303	121
WMC2374304	104
WMC2374305	83
WMC2374307	67
WMC2374308	98
WMC2374309	101
WMC2374310	115
WMC2374312	66
WMC2374313	69
WMC2374315	61
WMC2374316	91
WMC2374317	75
WMC2374318	87
WMC2374319	80
WMC2374320	99
WMC2374321	87
WMC2374322	98
WMC2374324	107
WMC2374325	96
WMC2374326	91
WMC2374327	75
WMC2374328	78
WMC2374329	73
WMC2374330	100
WMC2374331	100
WMC2374332	42
WMC2374333	97
WMC2374334	89
WMC2374335	109
WMC2374337	95
WMC2374338	51
WMC2374339	51
WMC2374340	77
WMC2374341	70
WMC2374342	37
WMC2374343	95
WMC2374345	57
WMC2374346	74
WMC2374347	117
WMC2374348	76
WMC2374349	109
WMC2374350	82
WMC2374351	63
WMC2374352	105
WMC2374353	104
WMC2374354	98
WMC2374355	58
WMC2374356	83
WMC2374357	90
WMC2374358	67
WMC2374359	75
WMC2374360	91
WMC2374361	108
WMC2374363	60
WMC2374364	122
WMC2374365	103
WMC2374366	75
WMC2374367	100
WMC2374368	109
WMC2374369	100
WMC2374370	93
WMC2374372	79
WMC2374373	113
WMC2374374	103
WMC2374375	99
WMC2374376	90
WMC2374377	58
WMC2374380	119
WMC2374381	122
WMC2374382	75
WMC2374383	66
WMC2374384	75
WMC2374385	73
WMC2374386	1
WMC2374387	117
WMC2374389	110
WMC2374390	98
WMC2374393	66
WMC2374394	95
WMC2374395	100
WMC2374396	70
WMC2374397	93
WMC2374398	99
WMC2374399	85
WMC2374400	94
WMC2374403	59
WMC2374404	102
WMC2374407	81
WMC2374408	56
WMC2374409	48
WMC2374410	57
WMC2374411	62
WMC2374412	116
WMC2374413	76
WMC2374414	77
WMC2374415	107
WMC2374416	78
WMC2374417	109
WMC2374418	109
WMC2374419	53
WMC2374420	75
WMC2374422	100
WMC2374423	100
WMC2374424	96
WMC2374425	67
WMC2374426	119
WMC2374427	88
WMC2374428	107
WMC2374429	109
WMC2374430	91
WMC2374431	73
WMC2374432	75
WMC2374823	70
WMC2374826	42
WMC2374830	37
WMC2374831	43
WMC2374834	63
WMC2374835	41
WMC2374836	37
WMC2374838	1
WMC2374840	110
WMC2374844	45
WMC2374845	42
WMC2374847	77
WMC2374850	56
WMC2374851	73
WMC2374852	83
WMC2374853	50
WMC2374854	1
WMC2374855	58
WMC2374859	2
WMC2374860	59
WMC2374861	101
WMC2374863	44
WMC2374864	59
WMC2374867	46
WMC2374869	54
WMC2374870	38
WMC2374871	37
WMC2374872	37
WMC2374875	52
WMC2374879	44
WMC2374882	52
WMC2374884	37
WMC2374886	100
WMC2374887	64
WMC2374888	44
WMC2374892	75
WMC2374893	88
WMC2374894	52
WMC2374902	44
WMC2374904	86
WMC2374906	58
WMC2374907	58
WMC2374908	52
WMC2374909	5
WMC2374911	53
WMC2374914	96
WMC2374916	61
WMC2374919	60
WMC2374922	53
WMC2374924	41
WMC2374926	72
WMC2374928	93
WMC2374931	72
WMC2374933	54
WMC2374936	84
WMC2374942	37
WMC2374947	105
WMC2374951	120
WMC2374952	100
WMC2374956	57
WMC2374958	69
WMC2374959	37
WMC2374963	67
WMC2374964	41
WMC2374965	53
WMC2374970	47
WMC2374979	80
WMC2374982	65
WMC2374984	53
WMC2374988	43
WMC2374989	100
WMC2374990	72
WMC2374992	39
WMC2374996	74
WMC2374997	66
WMC2374998	73
WMC2375004	43
WMC2375010	58
WMC2375018	44
WMC2375024	37
WMC2375028	73
WMC2375029	42
WMC2375030	49
WMC2375034	99
WMC2375039	37
WMC2375040	54
WMC2375043	47
WMC2375044	73
WMC2375045	91
WMC2375046	44
WMC2375047	50
WMC2375049	45
WMC2375053	83
WMC2375060	74
WMC2375064	1
WMC2375075	1
WMC2375076	74
WMC2375080	47
WMC2375081	56
WMC2375084	100
WMC2375085	45
WMC2375092	37
WMC2375095	49
WMC2375098	80
WMC2375101	38
WMC2375105	85
WMC2375106	41
WMC2375111	51
WMC2375114	100
WMC2375117	5
WMC2375118	44
WMC2375119	109
WMC2375127	53
WMC2375131	101
WMC2375134	52
WMC2375141	44
WMC2375143	46
WMC2375144	75
WMC2375145	91
WMC2375151	55
WMC2375152	111
WMC2375153	106
WMC2375154	91
WMC2375157	45
WMC2375161	42
WMC2375163	40
WMC2375166	99
WMC2375169	72
WMC2375171	50
WMC2375175	73
WMC2375176	72
WMC2375180	44
WMC2375183	119
WMC2375184	86
WMC2375185	66
WMC2375186	75
WMC2375189	42
WMC2375191	70
WMC2375193	78
WMC2375196	100
WMC2375197	46
WMC2375201	35
WMC2375202	11
WMC2375204	8
WMC2375206	7
WMC2375207	30
WMC2375209	20
WMC2375210	22
WMC2375212	30
WMC2375213	33
WMC2375214	17
WMC2375215	15
WMC2375216	27
WMC2375217	23
WMC2375218	32
WMC2375219	8
WMC2375220	33
WMC2375221	9
WMC2375222	28
WMC2375223	23
WMC2375224	28
WMC2375225	36
WMC2375226	16
WMC2375227	36
WMC2375228	35
WMC2375229	33
WMC2375230	30
WMC2375231	27
WMC2375232	15
WMC2375234	17
WMC2375235	26
WMC2375236	21
WMC2375237	20
WMC2375238	26
WMC2375240	24
WMC2375241	35
WMC2375242	11
WMC2375243	22
WMC2375244	16
WMC2375245	17
WMC2375247	32
WMC2375248	35
WMC2375249	17
WMC2375250	10
WMC2375251	6
WMC2375253	8
WMC2375254	8
WMC2375255	26
WMC2375257	7
WMC2375259	14
WMC2375260	32
WMC2375261	36
WMC2375264	6
WMC2375265	11
WMC2375266	12
WMC2375268	35
WMC2375269	23
WMC2375270	36
WMC2375272	19
WMC2375273	6
WMC2375274	33
WMC2375276	30
WMC2375279	9
WMC2375283	29
WMC2375284	33
WMC2375286	9
WMC2375287	11
WMC2375289	9
WMC2375291	26
WMC2375292	17
WMC2375293	14
WMC2375294	33
WMC2375295	35
WMC2375297	32
WMC2375300	20
WMC2375301	27
WMC2375303	12
WMC2375305	12
WMC2375306	16
WMC2375308	28
WMC2375309	33
WMC2375313	7
WMC2375314	24
WMC2375321	5
WMC2375323	6
WMC2375325	32
WMC2375326	28
WMC2375327	30
WMC2375328	28
WMC2375330	26
WMC2375331	10
WMC2375333	6
WMC2375334	32
WMC2375337	28
WMC2375339	23
WMC2375340	6
WMC2375342	6
WMC2375344	11
WMC2375345	34
WMC2375347	36
WMC2375348	9
WMC2375350	26
WMC2375351	6
WMC2375352	9
WMC2375353	22
WMC2375355	33
WMC2375356	17
WMC2375357	22
WMC2375361	29
WMC2375364	30
WMC2375368	15
WMC2375369	30
WMC2375371	18
WMC2375372	7
WMC2375373	35
WMC2375376	23
WMC2375378	35
WMC2375379	20
WMC2375381	27
WMC2375382	35
WMC2375383	34
WMC2375385	23
WMC2375386	35
WMC2375387	17
WMC2375390	12
WMC2375391	26
WMC2375392	24
WMC2375394	14
WMC2375396	22
WMC2375399	32
WMC2375401	27
WMC2375402	26
WMC2375403	12
WMC2375408	10
WMC2375410	30
WMC2375411	12
WMC2375412	8
WMC2375413	25
WMC2375415	15
WMC2375418	26
WMC2375419	35
WMC2375420	8
WMC2375425	20
WMC2375428	34
WMC2375429	6
WMC2375430	16
WMC2375431	35
WMC2375432	20
WMC2375433	16
WMC2375434	6
WMC2375437	33
WMC2375439	35
WMC2375441	35
WMC2375444	7
WMC2375445	26
WMC2375448	30
WMC2375450	28
WMC2375454	22
WMC2375455	27
WMC2375456	32
WMC2375457	9
WMC2375461	33
WMC2375464	10
WMC2375465	11
WMC2375468	35
WMC2375469	7
WMC2375470	6
WMC2375471	18
WMC2375475	9
WMC2375476	27
WMC2375477	33
WMC2375481	29
WMC2375482	35
WMC2375483	14
WMC2375485	25
WMC2375488	29
WMC2375489	35
WMC2375491	34
WMC2375493	35
WMC2375495	23
WMC2375497	29
WMC2375498	13
WMC2375499	20
WMC2375500	30
WMC2375502	36
WMC2375503	16
WMC2375504	8
WMC2375505	33
WMC2375506	9
WMC2375507	35
WMC2375508	30
WMC2375509	9
WMC2375510	29
WMC2375512	29
WMC2375515	13
WMC2375516	29
WMC2375519	9
WMC2375520	17
WMC2375521	29
WMC2375522	16
WMC2375524	11
WMC2375525	29
WMC2375526	28
WMC2375527	26
WMC2375529	33
WMC2375530	35
WMC2375532	36
WMC2375534	30
WMC2375537	14
WMC2375542	12
WMC2375543	6
WMC2375544	28
WMC2375545	35
WMC2375546	20
WMC2375547	35
WMC2375551	6
WMC2375553	23
WMC2375557	34
WMC2375558	35
WMC2375560	36
WMC2375561	17
WMC2375562	27
WMC2375563	14
WMC2375566	13
WMC2375567	25
WMC2375569	8
WMC2375572	33
WMC2375573	8
WMC2375575	32
WMC2375578	23
WMC2375579	23
WMC2375581	32
WMC2375584	16
WMC2375587	82
WMC2375589	1
WMC2375590	86
WMC2375594	65
WMC2375595	93
WMC2375597	103
WMC2375601	65
WMC2375602	89
WMC2375604	84
WMC2375605	85
WMC2375607	108
WMC2375609	107
WMC2375611	92
WMC2375612	76
WMC2375613	104
WMC2375614	89
WMC2375615	95
