	mc
WMC2374039	182
WMC2374040	81
WMC2374042	170
WMC2374043	111
WMC2374044	169
WMC2374045	169
WMC2374047	193
WMC2374048	160
WMC2374049	76
WMC2374050	121
WMC2374052	78
WMC2374053	175
WMC2374054	206
WMC2374055	202
WMC2374057	85
WMC2374058	186
WMC2374059	189
WMC2374060	75
WMC2374061	185
WMC2374062	208
WMC2374063	162
WMC2374064	213
WMC2374066	194
WMC2374067	71
WMC2374068	158
WMC2374069	199
WMC2374070	91
WMC2374071	207
WMC2374073	207
WMC2374074	186
WMC2374075	207
WMC2374076	210
WMC2374077	91
WMC2374078	176
WMC2374079	185
WMC2374080	209
WMC2374081	207
WMC2374082	176
WMC2374083	167
WMC2374084	167
WMC2374085	113
WMC2374086	206
WMC2374087	190
WMC2374088	172
WMC2374089	151
WMC2374090	181
WMC2374091	208
WMC2374092	210
WMC2374093	202
WMC2374094	178
WMC2374095	189
WMC2374096	165
WMC2374097	215
WMC2374098	176
WMC2374099	173
WMC2374100	207
WMC2374101	208
WMC2374102	211
WMC2374103	210
WMC2374105	210
WMC2374107	187
WMC2374108	208
WMC2374109	162
WMC2374110	192
WMC2374111	204
WMC2374112	162
WMC2374113	208
WMC2374115	168
WMC2374116	209
WMC2374117	165
WMC2374118	215
WMC2374119	198
WMC2374120	184
WMC2374121	188
WMC2374122	177
WMC2374123	184
WMC2374124	210
WMC2374126	171
WMC2374127	87
WMC2374128	196
WMC2374131	162
WMC2374132	214
WMC2374133	89
WMC2374134	91
WMC2374135	88
WMC2374137	160
WMC2374138	207
WMC2374139	196
WMC2374140	121
WMC2374141	101
WMC2374142	172
WMC2374143	76
WMC2374145	116
WMC2374146	212
WMC2374147	214
WMC2374148	216
WMC2374150	99
WMC2374151	76
WMC2374153	165
WMC2374154	196
WMC2374155	179
WMC2374156	184
WMC2374157	210
WMC2374158	85
WMC2374159	201
WMC2374160	184
WMC2374161	172
WMC2374163	217
WMC2374164	190
WMC2374165	207
WMC2374167	209
WMC2374168	200
WMC2374169	170
WMC2374170	203
WMC2374171	203
WMC2374172	187
WMC2374173	175
WMC2374174	188
WMC2374175	210
WMC2374177	185
WMC2374178	181
WMC2374179	75
WMC2374180	79
WMC2374181	77
WMC2374182	210
WMC2374183	192
WMC2374184	184
WMC2374185	215
WMC2374186	210
WMC2374187	176
WMC2374188	71
WMC2374189	168
WMC2374190	76
WMC2374191	166
WMC2374192	181
WMC2374193	162
WMC2374194	91
WMC2374195	180
WMC2374196	207
WMC2374197	204
WMC2374198	182
WMC2374199	173
WMC2374200	105
WMC2374201	165
WMC2374202	76
WMC2374203	120
WMC2374204	176
WMC2374207	214
WMC2374208	166
WMC2374209	214
WMC2374212	169
WMC2374213	208
WMC2374214	74
WMC2374215	211
WMC2374216	187
WMC2374217	196
WMC2374218	211
WMC2374219	126
WMC2374220	187
WMC2374221	77
WMC2374222	184
WMC2374223	108
WMC2374224	174
WMC2374225	207
WMC2374226	170
WMC2374227	169
WMC2374228	125
WMC2374229	77
WMC2374230	137
WMC2374231	185
WMC2374232	159
WMC2374233	162
WMC2374234	76
WMC2374236	121
WMC2374238	76
WMC2374239	206
WMC2374241	74
WMC2374242	210
WMC2374243	183
